brand,slug,category,country,active_start,active_end,fate,summary,wikipedia_url
Blockbuster Video,blockbuster,Retail/Entertainment,US,1985,2014,"Filed Chapter 11 in Oct 2010. Most corporate stores closed by 2014 after asset sale to DISH Network. An independently owned franchise store in Bend, Oregon remains as a novelty.","Once the dominant video-rental chain, Blockbuster collapsed amid debt, streaming disruption, and Redbox competition; corporate stores closed by 2014, with one famous franchise left in Bend, Oregon.",https://en.wikipedia.org/wiki/Blockbuster_LLC
Bonne Bell,bonne-bell,Consumer Products/Beauty,US,1927,2015,Sold to Markwins International in 2015; Bonne Bell brand discontinued while Lip Smacker continues separately,American cosmetics company best known for Lip Smacker flavored lip balms that became a cultural phenomenon among teenage girls from the 1970s-2000s. The company was sold and the Bonne Bell brand retired in 2015.,https://en.wikipedia.org/wiki/Bonne_Bell
Borders,borders,Retail,US,1971,2011,"Capture 11 bankruptcy in February 2011, followed by liquidation and closure of all stores later that year",Ann Arbor–born bookseller that popularized the big-box bookstore; filed for bankruptcy in 2011 and liquidated after falling behind e-commerce and e-books.,https://en.wikipedia.org/wiki/Borders_Group
Brach’s Maple Nut Goodies,brachs-maple-nut-goodies,Food/CPG,US,1940,2022,"Discontinued by parent company Ferrara Candy Company around 2022 after declining distribution, and recipe and manufacturing changes","Classic Brach’s candy: roasted peanuts wrapped in chewy maple-flavored toffee with a thin candy shell. After a controversial late-2010s process change that made pieces much harder, retail availability dwindled and Ferrara Candy Company discontinued the item around 2022.",https://en.wikipedia.org/wiki/Brach%27s
Braniff International Airways,braniff-international-airways,Aviation,US,1928,1982,"Braniff International Airways ceased airline operations on May 12, 1982 and filed for bankruptcy after financial reverses tied to deregulation-era competition, high fuel costs, recession pressure, and heavy expansion. The original airline is gone, but the Braniff name survives today in heritage, licensing, and related non-airline business form.","Braniff International Airways was an American airline founded in 1928 that grew from a regional carrier into one of the most visually distinctive airlines in the world. It became especially well known in the 1960s and 1970s for its bold design, colorful aircraft, and international expansion. Airline operations ended in 1982 after severe financial pressure, but the Braniff name did not disappear completely. Today it survives mainly as a legacy and licensing brand rather than as a flying airline.",
Buick GNX,buick-gnx,Automotive,US,1987,1987,One-year limited run of 547 units built with ASC/McLaren that discontinued at the end of the Regal-based Grand National program,Ultra-limited 1987 Buick GNX — the ultimate Grand National — is now a cult icon revived in pop culture via Kendrick Lamar’s 2024 album title and imagery.,
C-3PO's Cereal,c-3pos-cereal,Food/Breakfast cereal,US,1984,1985,Discontinued,Kellogg’s Star Wars–branded cereal sold during 1984–1985.,https://en.wikipedia.org/wiki/C-3PO%27s
Carnation Breakfast Bars,carnation-breakfast-bars,Food & Beverage,US,1975,1997,Original line discontinued in 1997. Carnational Breakfast Essentials introduced in 2014 and discontinued in 2020,"Granola-style meal-replacement bars available from 1975-1997, with a different Nestle' revival in 2014 that ended six years later",
Casual Corner,casual-corner,Retail,US,1950,2005,Liquidation and closure of remaining stores in 2005 after a multi-year wind-down of the chain and related concepts.,,https://en.wikipedia.org/wiki/Casual_Corner
Circuit City,circuit-city,Retail,US,1949,2009,Liquidation of all U.S. retail stores in early 2009 following a Chapter 11 filing until later resurfaced online under new owners.,U.S. electronics big-box chain founded in 1949 that expanded nationally with the Circuit City superstore format; filed Chapter 11 in 2008 and liquidated stores by March 2009.,https://en.wikipedia.org/wiki/Circuit_City
Cisco Fortified Wine,cisco-fortified-wine,Alcoholic Beverages,US,1980,1991,Reformulated from 20% alcohol content to 13.9% after public health in 1991,"High-alcohol fortified wine (20% ABV) sold in juice-like bottles that became notorious in urban communities during the 1990s. Dubbed 'liquid crack' due to its potency, low cost, and association with alcohol poisoning cases before reformulation.",
Compaq,compaq,Computers,US,1982,2002,"Merged with Hewlett-Packard; HP–Compaq on May 3, 2002. The brand was later retired in many markets.",PC pioneer known for IBM-compatible portables and aggressive pricing was acquired by Hewlett-Packard after a decade of scale and major acquisitions.,https://en.wikipedia.org/wiki/Compaq
Cookie Break,cookie-break,Food/CPG,US,1970,2000,Discontinued due to low sales,"Cookie Break was a Nabisco vanilla cookie line introduced to U.S. grocery stores in the 1970s, remembered by shoppers as a simple everyday cookie. The COOKIE BREAK mark was first used in commerce in 1970, registered in 1975, and later allowed to expired as Nabisco discontinued the product.",https://en.wikipedia.org/wiki/Nabisco
DeSoto,desoto,Automotive,US,1928,1961,"Discontinued by Chrysler after a brief 1961 model-year run, with the last DeSotos built in late 1960 amid brand overlap and a shrinking mid-price market.","Chrysler’s mid-priced brand (1928–1961), known for early success, the 1934 Airflow, and flashy 1950s ‘Forward Look’ retired as the company consolidated around Dodge and Chrysler.",https://en.wikipedia.org/wiki/DeSoto_(automobile)
Eastern Air Lines,eastern-air-lines,Aviation,US,1926,1991,"Ceased original operations after years of financial strain, labor conflict, deregulation-era pressure, and the fallout from Texas Air ownership. The Eastern name has since been revived by later, separate operators.",,
Fish with Attitude,fish-with-attitude,Games/Mobile Apps,US,2012,2014,"Crowdstar servers shut down in 2014, making game unplayable due to required online connection","Free-to-play mobile aquarium game by Crowdstar where players collected fish with different moods and personalities. Fish with Attitude was released for both iOS and Android, and gained millions of downloads before servers shut down in 2014.",
Four Loko (Original Caffeinated Formula),four-loko-original,Alcoholic Beverages,US,2005,2010,"Reformulated in November 2010 after FDA warning. Caffeine, taurine, and guarana removed following nationwide ban on caffeinated alcoholic beverages","Caffeinated alcoholic energy drink containing 12% alcohol, caffeine, taurine, and guarana in a 23.5 oz can. Became infamous for emergency room visits and was reformulated after FDA intervention in 2010.",https://en.wikipedia.org/wiki/Four_Loko
Freshen-Up (gum),freshen-up-gum,Confectionery/Gum,US,1975,2019,U.S. distribution ended in the early 2000s and production shifted to Brazil where it continued until 2019 when Cadbury Adams discontinued the brand globally.,"Introduced in 1975 by American Chicle (later Adams/Cadbury Adams), Freshen-Up was a liquid-center chewing gum sold in Peppermint, Spearmint, Cinnamon, Bubble Gum, and a 1970s fruit variant. The product pioneered the ""fun gum"" category with its distinctive ""the gum that goes squirt"" tagline. While U.S. distribution ended in the early 2000s, production shifted to Brazil where the brand remained viable until global discontinuation in 2019.",https://en.wikipedia.org/wiki/Freshen_Up
Fruit Stripe,fruit-stripe-gum,Food/Snacks,US,1969,2024,Ferrara Candy Company discontinued Fruit Stripe in January 2024 following a portfolio review.,"Launched in 1969 by Beech-Nut, Fruit Stripe became a cult-favorite chewing gum known for its rainbow sticks, quick-fading fruit flavors, and temporary tattoos featuring mascot Yipes the Zebra. After multiple ownership changes, Ferrara Candy Company confirmed the gum’s discontinuation in 2024.",https://en.wikipedia.org/wiki/Fruit_Stripe
Fry's Electronics,frys-electronics,Retail,US,1985,2021,Operations ceased in February 2021 after years of decline and a shift to a consignment inventory model.,"Beloved Silicon Valley–born big-box electronics chain known for themed stores, vast component aisles, and late-night parts runs abruptly closed in 2021.",https://en.wikipedia.org/wiki/Fry%27s_Electronics
FTX,ftx,Finance/Cryptocurrency,BS,2019,2022,Chapter 11 bankruptcy after fraud revelations,,
Hershey’s Swoops,hershey-swoops,Food/Snacks,US,2003,2006,Discontinued around 2006 after weak sales and positioning confusion.,"Thin, chip-curved chocolate pieces sold in canisters. Launched with brand tie-ins to other products, but struggled on price, melting, and shopper expectations.",
Hollywood Video,hollywood-video,Retail/Video Rental,US,1988,2010,"Acquired by Movie Gallery in 2005; parent company liquidated in 2010, closing all Hollywood Video stores nationwide.","**Hollywood Video** grew into the No. 2 U.S. video-rental chain through the 1990s, competing head-to-head with Blockbuster on big-box stores, new releases, and late-fee promos. After a 2005 acquisition by **Movie Gallery**, heavy debt, shrinking DVD rentals, and the rise of mail/streaming services pushed the business into bankruptcy. By **2010**, the parent liquidated and Hollywood Video stores closed nationwide. *Fun fact:* many locations housed an in-store game shop called **Game Crazy**, which ran trade-ins years before that model became mainstream.",
Hostess TMNT Turtle Pies,tmnt-turtle-pies,Food/Snacks,US,1991,1991,Limited-time tie-in discontinued after short 1991 run,"Hostess’ green-glazed, vanilla-pudding snack pies released in 1991 as a Teenage Mutant Ninja Turtles tie-in that ended the same year.",https://en.wikipedia.org/wiki/Hostess_%28snack_cakes%29
Hubba Bubba Bubble Jug,hubba-bubba-bubble-jug,Confectionery/Candy,US,1990,2012,"Discontinued in North America around 2012 after a long, sporadic run",Hubba Bubba’s powdered-to-chew gum sold in a tiny plastic jug. The candy-like crystals transformed into bubble gum when a person chewed it.,https://en.wikipedia.org/wiki/Hubba_Bubba
Jane Cosmetics,jane-cosmetics,Consumer Products/Beauty,US,1995,2012,Discontinued in 2012 by parent company Estée Lauder after declining sales and changing teen beauty market,"Affordable cosmetics brand launched in 1995 targeting teenage girls with trendy, accessible makeup sold at drugstores. Became the first makeup brand for many Millennials before discontinuation in 2012.",
Jet (retail),jet-retail,E-commerce,US,2015,2020,Acquired by Walmart in 2016 and retired in 2020 after its tech and talent were integrated into Walmart's e-commerce operations,U.S. online marketplace launched in 2015 and acquired by Walmart in 2016 for $3.3B; Jet’s brand was discontinued in 2020 as Walmart centralized its digital strategy.,https://en.wikipedia.org/wiki/Jet.com
Johnny Apple Treats,johnny-apple-treats,Food/Candy,US,1970s,Unclear / appears absent from mainstream retail,"Johnny Apple Treats appears discontinued or at least absent from mainstream retail. Public signals lean on sold-out specialty candy pages rather than a strong official product page, which suggests lingering search demand without a dominant owner-controlled result.","Johnny Apple Treats is a retro apple-flavored candy remembered as part of the same old theater-box and candy-counter world as Alexander the Grape and other Ferrara-era novelty candies. The strongest public evidence points to it being discontinued or at least very hard to find in current mainstream retail. What makes it especially interesting from a content perspective is that the search results are fragmented: sold-out retailer pages, nostalgia chatter, and partial candy-history references, but no strong official explainer controlling the query.",
Jolt Cola,jolt-cola,Beverages/Soft Drinks,US,1985,2010,"Killed in 2009 when a self-authorized deal for 90 million custom cans left the company unable to pay its supplier. Founder C.J. Rapp spent eight years in court fighting the investor takeover that preceded the bankruptcy. Relaunched at Dollar General in 2017, gone again by 2019, then reborn in 2025 by Redcon1 as a zero-sugar energy drink with four times the caffeine of a Coke.","High-caffeine cola launched in 1985 with ""All the sugar and twice the caffeine"" — the drink that invented the energy drink category before Red Bull existed. Went bankrupt in 2009 over a ruinous canning contract, briefly revived at Dollar General, and relaunched in 2025 by Redcon1 as a zero-sugar energy drink competing with Monster and Celsius.",https://en.wikipedia.org/wiki/Jolt_Cola
Jujubes,jujubes,Food/Candy,US,1920,Unclear / appears absent from mainstream retail,"Jujubes became harder to find after several ownership changes. The brand’s ownership history can be traced into Ferrara through the 2012 Ferrara and Farley’s & Sathers merger, but current mainstream availability is hard to confirm from strong official product pages.","Jujubes is a long-running chewy candy brand introduced in 1920 under the Heide candy business. It became strongly associated with boxed movie-theater candy in the United States. After ownership moved from Heide to Hershey, then to Farley’s & Sathers, and later into Ferrara, the brand became less visible in ordinary retail. Today, Jujubes is remembered much more easily than it is found.",
KB Toys,kb-toys,Retail,US,1922,2009,Liquidation of remaining stores in 2009 following late-2008 bankruptcy; trademarks later saw intermittent online/popup revivals.,Mall-based toy chain known for discount bins and holiday rushes that liquidated in 2009 after a second bankruptcy filing.,https://en.wikipedia.org/wiki/KB_Toys
Kinney Shoes,kinney-shoes,Retail,US,1894,1998,"Closed, even as athletic speciality banners like Foot Locker continued under the corporate successor","Founded in 1894 by George R. Kinney, Kinney Shoes grew from a value-priced footwear retailer into one of the biggest shoe chains in the United States. F. W. Woolworth acquired the company in 1963, and Kinney later launched Foot Locker in 1974 as a branded-athletic-footwear concept. By the 1990s, Foot Locker had become the stronger business while the traditional Kinney chain declined. Venator closed the remaining Kinney stores in 1998, and the parent company renamed itself Foot Locker, Inc. in 2001.",
Kodak Theatre of Dreams (Kodak cameras note brand exists),kodak-consumer-cameras,Consumer electronics,US,1888,2012,Bankruptcy/restructuring,Kodak filed for bankruptcy in 2012; many consumer lines discontinued; company restructured.,https://en.wikipedia.org/wiki/Eastman_Kodak
Lawn Darts (Jarts),lawn-darts,Toys/Games,US,1950,1988,"Metal tipped versions illegal in the U.S. after U.S. Consumer Product Safety Commission (CPSC) ban in 1988. Modern soft-tipped versions are legal, but fundamentally different than the original.","Original lawn darts (Jarts) featured weighted metal tips that became deadly projectiles. After more than 6,100 injuries and 3 child deaths, the CPSC banned all lawn darts with rigid, weighted tips in 1988.",
LEGO Universe,lego-universe,Video games,DK,2010,2012,Servers shut down permanently in 2012 after only 15 months of operation. LEGO cited an inability to convert free players to paying subscribers. The total cost to LEGO was estimated at 50 million dollars.,LEGO Universe was a family-friendly MMO developed by NetDevil and published by LEGO that ran from October 2010 to January 2012. It attracted nearly 2 million registered players but could not convert enough of them to paid subscribers to survive. Moderation costs from manually reviewing player-built content were the single largest operational expense and ultimately made the business model unworkable.,https://en.wikipedia.org/wiki/Lego_Universe
Linens 'n Things,linens-n-things,Retail,US,1975,2008,Filed Chapter 11 in 2008 and liquidated U.S. stores; brand later relaunched online under new ownership.,"U.S. home-goods chain founded in 1975. After rapid expansion and a 1996 spin-off, Linens ’n Things filed for Chapter 11 in 2008 and liquidated its stores; the brand later returned online only.",https://en.wikipedia.org/wiki/Linens_%27n_Things
Mama Rosa’s Pizza,mama-rosas-pizza,Food/CPG,US,1979,2021,"Still produced in limited quantities but mostly unavailable from major retailers, as once widespread brand is now nearly impossible to find","Frozen pizza brand popular in the 1980s and 1990s, now  rarely available despite technically still being produced.",
Marathon (U.S. braided caramel bar),marathon-bar-us,Food/CPG,US,1973,1981,National production ended when the product was discontinued in the U.S. by the early 1980s.,"Mars U.S. **Marathon bar** was a braided caramel rope covered in milk chocolate, famously sold in an extra-long 8-inch format with a printed ruler on the wrapper and the tagline ""Lasts a good long time."" It built a small cult following but was dropped as Mars restructures its lineup. The name **Marathon** later cause confusion with the U.K., where Snickers was called Marathon until 1990.",https://en.wikipedia.org/wiki/Marathon_(chocolate_bar)
McDonald's Szechuan Sauce,mcdonalds-szechuan-sauce,Food/Condiments,US,1998,1998,Limited-time promotional condiment for Disney’s Mulan that was sporadically reissued in 2017–2018 and again in 2022 as short-run promos.,"A limited-edition dipping sauce created for Disney’s Mulan 1998. Discontinued the same year, it later returned in short, highly publicized runs after a 2017 pop-culture resurgence.",https://en.wikipedia.org/wiki/Szechuan_sauce
Megatron (Transformers action figure),megatron-gun-to-tank,Toys/Games,US,1984,,"Realistic handgun alt-mode largely retired from U.S. mass retail; modern Megatron toys default to tanks or sci-fi cannons, with handgun versions mostly limited to adult collectors.","Early 1984 Megatron figures in the U.S. transformed into a realistic Walther P38–style handgun, imported from Takara’s Micro Change ""Gun Robo"" toy. As U.S. toy gun laws, blaze-orange marking rules, and retailer policies tightened from the late 1980s onward, Hasbro and Takara shifted Megatron’s alternate mode toward tanks and futuristic cannons that read as fantasy hardware instead of a real firearm. Today, mainstream U.S. Megatron toys avoid realistic handgun forms; pistol-mode releases survive mainly as adult-collector imports or special editions with bright safety markings and restricted distribution.",
Mt. Gox,mt-gox,Finance/Cryptocurrency,JP,2010,2014,Bankruptcy following massive loss of customer bitcoin; later placed into civil rehabilitation in Japan,,https://en.wikipedia.org/wiki/Mt._Gox
Napster (original),napster-original,Software/Internet,US,1999,2001,Shut down following court rulings against its centralized P2P service; company later filed Chapter 11 (2002) and the brand was reused by successors.,The original peer-to-peer music-sharing service (1999–2001) that popularized MP3 swapping and triggered landmark music-industry lawsuits; shut down after court orders.,https://en.wikipedia.org/wiki/Napster
Netscape,netscape,Software/Internet,US,1994,2008,"AOL acquired Netscape in 1999 in a deal worth 10 billion dollars. The Netscape brand lingered through the 2000s as a minor portal and browser label before AOL ended all support for Netscape-branded browsers on March 1 2008. The Mozilla codebase Netscape open-sourced in 1998 went on to power Firefox, and technologies Netscape engineers invented including JavaScript, SSL encryption, and HTTP cookies remain foundational to the modern web.","Netscape Navigator defined the early consumer web and its 1995 IPO sparked the dot-com era. Microsoft buried the brand through bundling Internet Explorer with Windows. But before Netscape died it open-sourced its code, giving the world Mozilla and eventually Firefox.",https://en.wikipedia.org/wiki/Netscape
Nickelodeon Moon Shoes,nickelodeon-moon-shoes,Toys/Games,US,1992,2000,The Nickelodeon-associated 1990s version faded from mainstream toy shelves by the late 1990s or early 2000s. Later Moon Shoes-style products continued under other manufacturers and online retail listings.,"Nickelodeon Moon Shoes were the 1990s plastic-and-bungee version of the strap-on bounce toy often billed as “mini-trampolines for your feet.” The broader moon-shoe concept dates back earlier, but the version remembered by 90s kids used hard plastic frames and elastic bands to create a springy, moon-walk-like bounce. The Nickelodeon-associated version became a memorable fad toy, then faded from mainstream shelves as the decade ended. Later non-Nickelodeon Moon Shoes-style products continued to appear, so the most accurate status is that the original Nickelodeon-era version is discontinued while later versions exist.",https://en.wikipedia.org/wiki/Moon_shoes
Oldsmobile,oldsmobile,Automotive,US,1897,2004,Discontinued by General Motors; phase-out announced in 2000 with final production ending in 2004 (last model: Alero).,"America’s oldest car brand at discontinuation—famed for Cutlass, 442, Toronado, and the long-running 88/98—retired by GM after overlap with Buick and an aging customer base.",https://en.wikipedia.org/wiki/Oldsmobile
original Hard Candy Makeup,hard-candy-original,Consumer Products/Beauty,US,1995,2009,Original brand sold to Walmart in 2009 and reformulated as mass-market line bearing no resemblance to original cult product,"Cult alternative makeup brand founded in 1995, famous for sky blue nail polish and grunge aesthetic. The original prestige brand was discontinued when it was sold to Walmart in 2009, though the name continues on unrelated budget products.",https://en.wikipedia.org/wiki/Hard_Candy_(cosmetics)
Orko (He-Man & Masters of the Universe),orko-motu,Toys/Games,US,1983,present,"Enduring franchise character; appears across cartoons, comics, and multiple toy lines since the 1980s.","**Orko** is the franchise’s primary magician—an earnest, floating **Trollan** from another dimension—introduced in Filmation’s 1983 cartoon and quickly merchandised by Mattel. The vintage 1980s action figure used a rip-cord mechanism that made him **spin in circles** to mimic floating. Comic relief on TV and a fan-favorite in the toy aisle, Orko has reappeared in later reboots (2002, 2021+) and modern collector lines.",
Orkut,orkut,Software/Internet,US,2004,2014,Orkut was an early social network that shaped online life in Brazil and India before Google shut it down. ,"**Orkut** was Google’s first major social network, launched in **2004** and wildly popular in **Brazil** and **India**. It centered on **communities**, **scraps** (public messages), **testimonials**, and photo sharing—years before Facebook became dominant worldwide. As Google redirected effort to newer products (Buzz, then Google+), Orkut stagnated and was **shut down September 30, 2014**. Its cultural footprint remains strongest in Brazil and India, where ‘scraps’ and Orkut communities defined the mid-2000s social web.",https://en.wikipedia.org/wiki/Orkut
Palm,palm,Mobile devices,US,1992,2011,"HP announced an agreement to acquire Palm on April 28, 2010 and completed the deal on July 1, 2010. HP later announced on August 18, 2011 that it would discontinue webOS device operations. The webOS software business was sold to LG in 2013, and parts of Palm's patent portfolio were sold to Qualcomm in 2014.","Palm was a pioneering handheld computing company known for the PalmPilot, Treo, and Palm Pre. Founded in 1992, it became one of the defining brands of the PDA era and later pushed into smartphones with Treo and webOS devices. HP acquired Palm in 2010 for about 1.2 billion dollars, then wound down webOS hardware in 2011 after weak commercial performance.",
Pan Am,pan-am,Aviation,US,1927,1991,"Filed Chapter 11 in 1991 and ceased operations on Dec 4, 1991 amid losses, asset sales, and a failed reorganization.",,https://en.wikipedia.org/wiki/Pan_American_World_Airways
Peanut Butter Twix,peanut-butter-twix,Food/Confectionery,US,1980s,Present (intermittent),"Still part of the broader Twix flavor lineup, but its shelf presence has varied over time. Mars has brought it back after previous gaps in distribution, including a confirmed return in 2017.","Peanut Butter Twix is a U.S. Twix variation that replaces the usual caramel layer with peanut butter. Over the years it has gone in and out of wide distribution, which is why many shoppers remember it as a candy bar that keeps disappearing and returning. Mars confirmed another return in 2017, and the flavor remains one of the best-known Twix variants outside the original caramel bar.",
Pebble,pebble,Wearables,US,2012,2016,Core assets acquired by Fitbit in Dec 2016; Pebble hardware discontinued and cloud services later sunset.,"Crowdfunding-era smartwatch pioneer best known for long battery life, e-paper displays, and a vibrant developer community. Acquired by Fitbit in 2016; products discontinued.",https://en.wikipedia.org/wiki/Pebble_(watch)
Pet Society,pet-society,Games/Social Media,US,2008,2013,"Shut down June 14, 2013 by Playfish/EA after 5 years; servers permanently closed despite being one of Facebook's most popular games with tens of millions of players","Virtual pet game on Facebook by Playfish where players adopted pets, decorated homes, played mini-games, and visited friends. Launched 2008, reached 70+ million players at peak before EA shut it down in 2013, devastating the massive player base.",
Pets.com,pets-com,E-commerce,US,1998,2000,Liquidated in late 2000 after rapid burn and weak unit economics; brand assets sold off.,"Dot-com era pet-supply e-tailer famous for the sock-puppet mascot. Launched in 1998, went public in 2000, and shut down the same year amid unsustainable shipping costs and thin margins.",https://en.wikipedia.org/wiki/Pets.com
Pizzarias,pizzarias-chips,Food/Snacks,US,1991,2002,Discontinued around 2002 by Keebler after more than a decade of production; never officially relaunched despite ongoing fan requests,Pizza-flavored tortilla chips produced by Keebler from 1991 to approximately 2002. Featured bold pizza seasoning and came in varieties like Supreme and Zesty Pepperoni. Became cult snack among 90s kids before quiet discontinuation.,
Red Bull Red Edition (Cranberry),red-bull-red-edition-cranberry,Beverages/Energy Drinks,US,2013,2020,Cranberry Red Edition discontinued in the U.S. and effectively replaced by Red Edition Watermelon around 2020.,"Red Bull’s first Red Edition launched as **Cranberry** in 2013 and built a steady following. In the U.S., the ‘Red Edition’ later switched to **Watermelon** (keeping the Red Edition name), and cranberry disappeared from shelves by ~2020. Today, Red Edition in the U.S. means Watermelon; cranberry is considered discontinued here.",
Restaurant City,restaurant-city,Video games and consoles,"UK (Playfish), US (EA)",2009,2012,Restaurant City was a cheerful Facebook game that let players build dream restaurants before EA shut it down in 2012.,"Restaurant City was a social restaurant simulation game created by Playfish for Facebook. It entered public beta on April 28, 2009 and let players design restaurants, hire staff, collect ingredients, and visit friends. Electronic Arts acquired Playfish in November 2009 and the game was retired on June 29, 2012.",
Ritz Camera,ritz-camera,,US,1918,2012,"Filed for bankruptcy twice (2009, 2012) amid the digital photography transition; most U.S. stores closed or sold; brand assets later operated online under new ownership.",Century-old camera and photo-finishing retailer known for one-hour labs and mall shops; collapsed after the transition to digital imaging and two bankruptcies.,https://en.wikipedia.org/wiki/Ritz_Camera_%26_Image
Salon Selectives,salon-selectives,Consumer Products/Beauty,US,1987,2006,Discontinued in mid-2000s as parent company Unilever streamlined hair care portfolio,Premium drugstore shampoo and conditioner line by Helene Curtis that promised salon-quality formulas at affordable prices. Discontinued after nearly 20 years when Unilever consolidated brands.,
Sam Goody,sam-goody,Retail/Entertainment,US,1951,2006,U.S. chain largely shuttered after The Musicland Group’s 2006 bankruptcy; many stores closed or converted to FYE under new ownership,"Mall-era music retailer known for deep CD/cassette selection, singles, and chart walls; most stores disappeared after Musicland’s 2006 bankruptcy and subsequent conversions.",https://en.wikipedia.org/wiki/Sam_Goody
Sears (Canada),sears-canada,Retail,CA,1952,2018,Liquidation,Canadian department store chain liquidated in 2018.,https://en.wikipedia.org/wiki/Sears_Canada
Sega Dreamcast,sega-dreamcast,Video game consoles,JP,1998,2001,Sega discontinued Dreamcast hardware in 2001 and exited the console business to become a third-party publisher.,"Sega’s final home console (launched 1998 JP, 1999 NA) known for built-in online play, inventive first-party titles, and the VMU. Discontinued in 2001 as Sega left the hardware market.",https://en.wikipedia.org/wiki/Dreamcast
Seven Up (Candy Bar),seven-up-candy-bar,Food/CPG,US,1930,1979,Discontinued in 1979; no official relaunch since.,"Pearson’s **Seven Up** was a segmented milk-chocolate bar introduced in the 1930s. The bar was molded into seven small chambers, each holding a different filling. Lineups varied over time, but fan-favorite centers often included coconut, butterscotch caramel, buttercream, fudge, Brazil nut, cherry cream, and orange jelly. Production ended in 1979, though the bar still inspires intense nostalgia among candy collectors.",
Sierra Mist Cranberry Splash,sierra-mist-cranberry-splash,Beverages/Non-alcoholic,US,2006,2016,Discontinued around 2016 after years of seasonal releases; Sierra Mist brand itself replaced by Starry in 2023,Seasonal cranberry-flavored variant of Sierra Mist lemon-lime soda released by PepsiCo annually during holidays from 2006-2016. Featured bright red color and tart cranberry-citrus flavor that developed cult following before quiet discontinuation.,
Silicon Valley Bank,silicon-valley-bank,Finance/Banking,US,1983,2023,Closed by regulators; placed into FDIC receivership; most assets and deposits sold to First Citizens Bank,,https://en.wikipedia.org/wiki/Silicon_Valley_Bank
